지정상품(국문),NICE분류,유사군코드,지정상품(영문),
공업용 동위원소 판매알선업,35,S2010,Sales arranging of isotopes for industrial purposes,
공업용 디아스타제 판매알선업,35,S2010,Sales arranging of diastase for industrial purposes,
공업용 또는 농업용 검댕 판매알선업,35,S2010,Sales arranging of soot for industrial or agricultural purposes,
공업용 락토오스(유당) 판매알선업,35,S2010,Sales arranging of lactose for industrial purposes,
공업용 람노스 판매알선업,35,S2010,Sales arranging of rhamnose for industrial purposes,
공업용 램프블랙 판매알선업,35,S2010,Sales arranging of lamp black for industrial purposes,
공업용 레시틴 판매알선업,35,S2010,Sales arranging of lecithin for industrial purposes,
공업용 리소자임 판매알선업,35,S2010,Sales arranging of lysozyme for industrial purposes,
공업용 맹그러브 수피(樹皮) 판매알선업,35,S2010,Sales arranging of mangrove bark for industrial purposes,
공업용 메탈옥사이드분말 판매알선업,35,S2010,Sales arranging of metal oxide powders for industrial purposes,
공업용 메탈옥사이드슬러리 판매알선업,35,S2010,Sales arranging of metal oxide slurries for industrial purposes,
공업용 무기복합코팅제 판매알선업,35,S2010,Sales arranging of inorganic complex coating agents for industrial purposes,
공업용 무기염 판매알선업,35,S2010,Sales arranging of inorganic salts for industrial purposes,
공업용 무수 수산화 나트륨 판매알선업,35,S2010,Sales arranging of anhydrous sodium hydroxide for industrial purposes,
공업용 밀글루텐 판매알선업,35,S2010,Sales arranging of wheat gluten for industrial purposes,
공업용 및 과학용 화학제 판매알선업,35,S2010,Sales arranging of chemicals used in industry and science,
공업용 및 상업용 방향족용제 판매알선업,35,S2010,Sales arranging of aromatic solvents for industrial and commercial use,
공업용 반도체 연마제용 세리아슬러리 판매알선업,35,S2010,Sales arranging of ceria slurries for abrading semiconductor for industrial purposes,
공업용 발포제 판매알선업,35,S2010,Sales arranging of vesicants for industrial purposes,
공업용 발효 추출물 판매알선업,35,S2010,Sales arranging of fermentation extracts for industrial purposes,
공업용 부식제 판매알선업,35,S2010,Sales arranging of caustics for industrial purposes,
공업용 부식젤 판매알선업,35,S2010,Sales arranging of etching gels for industrial purposes,
공업용 붕산 판매알선업,35,S2010,Sales arranging of boric acid for industrial purposes,
공업용 빵품질개량제 판매알선업,35,S2010,Sales arranging of texturizers for bread for industrial purposes,
공업용 산소 판매알선업,35,S2010,Sales arranging of oxygen for industrial purposes,
공업용 산화코발트 판매알선업,35,S2010,Sales arranging of cobalt oxide for industrial purposes,
공업용 색상광택제 판매알선업,35,S2010,Sales arranging of color-brightening chemicals for industrial purposes,
공업용 색상광택제 판매알선업,35,S2010,Sales arranging of colour-brightening chemicals for industrial purposes,
